song_title,artist1,artist2,SO,AR,AR_code_for_a1_a2,AR_Notes,genre
Gotta Get Thru This,Daniel Bedingfield,,,,,,
Gotta Tell You,Samantha Mumba,,,,,,
Greatest Love Of All,Whitney Houston,,,,,,
Grenade,Bruno Mars,,,,,,
Grillz,Nelly,Paul Wall,Ali,Gipp,,,
Grind With Me,Pretty Ricky,,,,,,
Groove Is In The Heart,Deee-Lite,,,,,,
Groovy Kind Of Love,Phil Collins,,,,,,
Gypsy Woman,Crystal Waters,,,,,,
Halo,Beyonce,,,,,,
Hands,Jewel,,,,,,
Hands To Heaven,Breathe,,,,,,
Hangin Tough,New Kids On The Block,,,,,,
Hanging By A Moment,Lifehouse,,,,,,
Hanky Panky,Madonna,,,,,,
Happy,Ashanti,,,,,,
Hard,Rihanna,Jeezy,,,,,
Hard To Say I'm Sorry,Az Yet,Peter Cetera,,,,,
Harlem Shake,Baauer,,,,,,
Harlem Shuffle,The Rolling Stones,,,,,,
Hate It Or Love It,The Game,50 Cent,,,,,
Hate That I Love You,Rihanna,Ne-Yo,,,,,
Have I Told You Lately,Rod Stewart,,,,,,
Have You Ever Really Loved A Woman?,Bryan Adams,,,,,,
Have You Ever?,Brandy,,,,,,
Have You Seen Her,M.C. Hammer,,,,,,
Hazard,Richard Marx,,,,,,
Hazy Shade Of Winter,Bangles,,,,,,
He Could Be The One,Hannah Montana,,,,,,
He Loves U Not,Dream,,,,,,
He Wasn't Man Enough,Toni Braxton,,,,,,
He's Mine,MoKenStef,,,,,,
Head Over Heels,Tears For Fears,,,,,,
Head To Toe,Lisa Lisa,,,,,,
Heart And Soul,T'Pau,,,,,,
Heart Attack,Demi Lovato,,,,,,
Heartbeat,Don Johnson,,,,,,
Heartbreak Hotel,Whitney Houston,Faith Evans,,,,,
Heartbreaker,Mariah Carey,Jay-Z,,,,,
Heartless,Kanye West,,,,,,
Heat Of The Night,Bryan Adams,,,,,,
Heaven,Bryan Adams,,,,,,
Heaven,DJ Sammy,Yanou,Do,,,,
Heaven,Warrant,,,,,,
Heaven Help Me,Deon Estus,,,,,,
Heaven Is A Place On Earth,Belinda Carlisle,,,,,,
Here And Now,Luther Vandross,,,,,,
Here Comes The Hotstepper,Ini Kamoze,,,,,,
Here I Am,UB40,,,,,,
Here I Go Again,Whitesnake,,,,,,
Here We Are,Gloria Estefan,,,,,,
Here We Go,C,F. Williams,,,,,
Here Without You,3 Doors Down,,,,,,
Hero,Chad Kroeger,Josey Scott,,,,,
Hero,Enrique Iglesias,,,,,,
Hero,Mariah Carey,,,,,,
Hey Baby,No Doubt,Bounty Killer,,,,,
Hey Baby,Pitbull,T-Pain,,,,,
Hey Lover,LL Cool J,,,,,,
Hey Ma,Cam'ron,Juelz Santana,Freekey Zekey,Toya,,,
Hey Mr. D.J.,Zhane,,,,,,
Hey There Delilah,Plain White T's,,,,,,
Hey Ya!,OutKast,,,,,,
Hey  Soul Sister,Train,,,,,,
High Enough,Damn Yankees,,,,,,
High On You,Survivor,,,,,,
Higher,Creed,,,,,,
Higher Love,Steve Winwood,,,,,,
Hip Hop Hooray,Naughty By Nature,,,,,,
Hip To Be Square,Huey Lewis And The News,,,,,,
Hips Don't Lie,Shakira,Wyclef Jean,,,,,
Hit 'Em Up Style,Blu Cantrell,,,,,,
Hit Me Off,New Edition,,,,,,
Ho Hey,The Lumineers,,,,,,
Hold It Against Me,Britney Spears,,,,,,
Hold My Hand,Hootie And The Blowfish,,,,,,
Hold On,En Vogue,,,,,,
Hold On,Wilson Phillips,,,,,,
Hold On To The Nights,Richard Marx,,,,,,
Hold On  We're Going Home,Drake,Majid Jordan,,,,,
Hold You Tight,Tara Kemp,,,,,,
Holding Back The Years,Simply Red,,,,,,
Hole Hearted,Extreme,,,,,,
Holidae In,Chingy,Ludacris,Snoop Dogg,,,,
Hollaback Girl,Gwen Stefani,,,,,,
Holy Grail,Jay-Z,Justin Timberlake,,,,,
Home,Daughtry,,,,,,
Home,Phillip Phillips,,,,,,
Honey,Mariah Carey,,,,,,
Hot Boyz,Missy Elliot,NAS,EVE,,,,
Hot In Herre,Nelly,,,,,,
Hot N Cold,Katy Perry,,,,,,
Hotel,Cassidy,R. Kelly,,,,,
Hotel Room Service,Pitbull,,,,,,
How Am I Supposed To Live Without You,Michael Bolton,,,,,,
How Can I Fall?,Breathe,,,,,,
How Can We Be Lovers,Michael Bolton,,,,,,
How Deep Is Your Love,Dru Hill,Redman,,,,,
How Do I Live,LeAnn Rimes,,,,,,
How Do U Want It/California Love,2Pac,KC,JoJo,,,,
How Do You Talk To An Angel,The Heights,,,,,,
How Low,Ludacris,,,,,,
How To Love,Lil Wayne,,,,,,
How To Save A Life,The Fray,,,,,,
How We Do,The Game,50 Cent,,,,,
How Will I Know,Whitney Houston,,,,,,
How You Gonna Act Like That,Tyrese,,,,,,
How You Remind Me,Nickelback,,,,,,
How's It Going To Be,Third Eye Blind,,,,,,
Human,The Human League,,,,,,
Humpin Around,Bobby Brown,,,,,,
Hung Up,Madonna,,,,,,
Hungry Eyes,Eric Carmen,,,,,,
Hypnotize,The Notorious B.I.G.,,,,,,
Hysteria,Def Leppard,,,,,,
I Adore Mi Amor,Color Me Badd,,,,,,
I Believe,Blessid Union Of Souls,,,,,,
I Believe,Fantasia,,,,,,
I Believe I Can Fly,R. Kelly,,,,,,
I Believe In You And Me,Whitney Houston,,,,,,
I Belong To You,Rome,,,,,,
I Can Love You Like That,All-4-One,,,,,,
I Can't Dance,Genesis,,,,,,
I Can't Sleep Baby,R. Kelly,,,,,,
I Can't Wait,Nu Shooz,,,,,,
I Can't Wait Another Minute,Hi-Five,,,,,,
I Could Never Take The Place Of Your Man,Prince,,,,,,
I Cry,Flo Rida,,,,,,
I Didn't Mean To Turn You On,Robert Palmer,,,,,,
I Don't Ever Want To See You Again,Uncle Sam,,,,,,
I Don't Have The Heart,James Ingram,,,,,,
I Don't Wanna Cry,Mariah Carey,,,,,,
I Don't Wanna Fight,Tina Turner,,,,,,
I Don't Wanna Go On With You Like That,Elton John,,,,,,
I Don't Wanna Know,Mario Winans,Enya,P. Diddy,,,,
I Don't Wanna Live Without Your Love,Chicago,,,,,,
I Don't Want To Be,Gavin DeGraw,,,,,,
I Don't Want To Live Without You,Foreigner,,,,,,
I Don't Want To Miss A Thing,Aerosmith,,,,,,
I Don't Want Your Love,Duran Duran,,,,,,
I Drove All Night,Cyndi Lauper,,,,,,
I Finally Found Someone,Barbra Streisand,Bryan Adams,,,,,
I Found Someone,Cher,,,,,,
I Get Lonely,Janet Jackson,BLACKstreet,,,,,
I Get Weak,Belinda Carlisle,,,,,,
I Go To Extremes,Billy Joel,,,,,,
I Got 5 On It,Luniz,,,,,,
I Got Id/Long Road,Pearl Jam,,,,,,
I Gotta Feeling,The Black Eyed Peas,,,,,,
I Hate Myself For Loving You,Joan Jett And The Blackhearts,,,,,,
I Have Nothing,Whitney Houston,,,,,,
I Heard A Rumour,Bananarama,,,,,,
I Just Can't Stop Loving You,Michael Jackson,Siedah Garrett,,,,,
I Kissed A Girl,Katy Perry,,,,,,
I Knew I Loved You,Savage Garden,,,,,,
I Knew You Were Trouble.,Taylor Swift,,,,,,
I Knew You Were Waiting,Aretha Franklin,,,,,,
I Know,Dionne Farris,,,,,,
I Know What I Like,Huey Lewis And The News,,,,,,
I Know What You Want,Busta Rhymes,Mariah Carey,The Flipmode Squad,,,,
I Know You Want Me,Pitbull,,,,,,
I Like It,Dino,,,,,,
I Like It,Enrique Iglesias,Pitbull,,,,,
I Like The Way,Hi-Five,,,,,,
I Love It,Icona Pop,Charli XCX,,,,,
I Love You Always Forever,Donna Lewis,,,,,,
I Love Your Smile,Shanice,,,,,,
I Miss You,Klymaxx,,,,,,
I Need A Doctor,Dr. Dre,Eminem,Skylar Grey,,,,
I Need A Girl,P. Diddy,Usher,Loon,,,,
I Need A Girl,P. Diddy,Ginuwine,Loon,Mario Winans,,,
I Need To Know,Marc Anthony,,,,,,
I Remember Holding You,Boys Club,,,,,,
I Remember You,Skid Row,,,,,,
I Saw Him Standing There,Tiffany,,,,,,
I Saw Red,Warrant,,,,,,
I Still Believe,Mariah Carey,,,,,,
I Still Haven't Found What I'm Looking For,U2,,,,,,
I Swear,All-4-One,,,,,,
I Think We're Alone Now,Tiffany,,,,,,
I Told You So,Carrie Underwood,Randy Travis,,,,,
I Touch Myself,Divinyls,,,,,,
I Tried,Bone Thugs-N-Harmony,Akon,,,,,
I Try,Macy Gray,,,,,,
I Turn To You,Christina Aguilera,,,,,,
I Wanna Be Down,Brandy,,,,,,
I Wanna Be Rich,Calloway,,,,,,
I Wanna Dance With Somebody,Whitney Houston,,,,,,
I Wanna Go,Britney Spears,,,,,,
I Wanna Have Some Fun,Samantha Fox,,,,,,
I Wanna Know,Joe,,,,,,
I Wanna Love You,Akon,Snoop Dogg,,,,,
I Wanna Love You Forever,Jessica Simpson,,,,,,
I Wanna Sex You Up,Color Me Badd,,,,,,
I Want Her,Keith Sweat,,,,,,
I Want It That Way,Backstreet Boys,,,,,,
I Want To Be Your Man,Roger,,,,,,
I Want To Know What Love Is,Foreigner,,,,,,
I Want You,Savage Garden,,,,,,
I Want Your Sex,George Michael,,,,,,
I Will Always Love You,Whitney Houston,,,,,,
I Will Come To You,Hanson,,,,,,
I Wish It Would Rain Down,Phil Collins,,,,,,
I Won't Give Up,Jason Mraz,,,,,,
I Wonder Why,Curtis Stigers,,,,,,
I Would Die 4 U,Prince And The Revolution,,,,,,
I Write Sins Not Tragedies,Panic! At The Disco,,,,,,
I'd Die Without You,P.M. Dawn,,,,,,
I'd Do Anything For Love,Meat Loaf,,,,,,
I'll Always Love You,Taylor Dayne,,,,,,
I'll Be,Edwin McCain,,,,,,
I'll Be,Foxy Brown,Jay-Z,,,,,
I'll Be Loving You,New Kids On The Block,,,,,,
I'll Be Missing You,Puff Daddy,Faith Evans,112,,,,
I'll Be There,Mariah Carey,,,,,,
I'll Be There,The Escape Club,,,,,,
I'll Be There For You,Bon Jovi,,,,,,
I'll Be There For You/You're All I Need To Get By,Method Man,Mary J. Blige,,,,,
I'll Be Your Everything,Tommy Page,,,,,,
I'll Be Your Shelter,Taylor Dayne,,,,,,
I'll Give All My Love To You,Keith Sweat,,,,,,
I'll Make Love To You,Boyz II Men,,,,,,
I'll Never Get Over You,Expose,,,,,,
I'll Remember,Madonna,,,,,,
I'll Stand By You,Carrie Underwood,,,,,,
I'm Every Woman,Whitney Houston,,,,,,
I'm Goin Down,Bruce Springsteen,,,,,,
I'm Gonna Be,The Proclaimers,,,,,,
I'm Gonna Be Alright,Jennifer Lopez,NAS,,,,,
I'm Like A Bird,Nelly Furtado,,,,,,
I'm N Luv,T-Pain,Mike Jones,,,,,
I'm Not In Love,Will To Power,,,,,,
I'm On Fire,Bruce Springsteen,,,,,,
I'm On One,DJ Khaled,Drake,Rick Ross,Lil Wayne,,,
I'm Ready,Tevin Campbell,,,,,,
I'm Real,Jennifer Lopez,Ja Rule,,,,,
I'm So Into You,SWV,,,,,,
I'm Sprung,T-Pain,,,,,,
I'm Still In Love With You,New Edition,,,,,,
I'm The Only One,Melissa Etheridge,,,,,,
I'm Too Sexy,Right Said Fred,,,,,,
I'm With You,Avril Lavigne,,,,,,
I'm Your Angel,R. Kelly,,,,,,
I'm Your Baby Tonight,Whitney Houston,,,,,,
I'm Your Man,Wham!,,,,,,
I'm Yours,Jason Mraz,,,,,,
I've Been In Love Before,Cutting Crew,,,,,,
I've Been Thinking About You,Londonbeat,,,,,,
Ice Ice Baby,Vanilla Ice,,,,,,
Iesha,Another Bad Creation,,,,,,
If,Janet Jackson,,,,,,
If I Ain't Got You,Alicia Keys,,,,,,
If I Could Turn Back Time,Cher,,,,,,
If I Ever Fall In Love,Shai,,,,,,
If I Had No Loot,Tony Toni Tone,,,,,,
If I Were A Boy,Beyonce,,,,,,
If It Isn't Love,New Edition,,,,,,
If It Makes You Happy,Sheryl Crow,,,,,,
If This Was A Movie,Taylor Swift,,,,,,
If Wishes Came True,Sweet Sensation,,,,,,
If You Asked Me To,Celine Dion,,,,,,
If You Don't Know Me By Now,Simply Red,,,,,,
If You Go,Jon Secada,,,,,,
If You Had My Love,Jennifer Lopez,,,,,,
If You Leave,Orchestral Manoeuvres In The Dark,,,,,,
If You Love Me,Brownstone,,,,,,
If You Love Somebody Set Them Free,Sting,,,,,,
If You're Gone,matchbox twenty,,,,,,
Ignition,R. Kelly,,,,,,
Imma Be,The Black Eyed Peas,,,,,,
Impulsive,Wilson Phillips,,,,,,
In Da Club,50 Cent,,,,,,
In My Bed,Dru Hill,,,,,,
In My Head,Jason Derulo,,,,,,
In My House,Mary Jane Girls,,,,,,
In The Ayer,Flo Rida,will.i.am,,,,,
In The Closet,Michael Jackson,,,,,,
In The End,Linkin Park,,,,,,
In The Still Of The Nite,Boyz II Men,,,,,,
In Those Jeans,Ginuwine,,,,,,
In Too Deep,Genesis,,,,,,
In Your Room,Bangles,,,,,,
Incomplete,Sisqo,,,,,,
Independent,Webbie,Lil Phat,Lil Boosie,,,,
Independent Women Part I,Destiny's Child,,,,,,
Informer,Snow,,,,,,
Inside Your Heaven,Bo Bice,,,,,,
Inside Your Heaven,Carrie Underwood,,,,,,
Into You,Fabolous,Tamia,Ashanti,,,,
Invincible,Pat Benatar,,,,,,
Invisible Touch,Genesis,,,,,,
Iris,Goo Goo Dolls,,,,,,
Ironic,Alanis Morissette,,,,,,
Irreplaceable,Beyonce,,,,,,
Is It Love,Mr. Mister,,,,,,
Is This Love,Survivor,,,,,,
Is This Love,Whitesnake,,,,,,
It Ain't Over Til It's Over,Lenny Kravitz,,,,,,
It Ends Tonight,The All-American Rejects,,,,,,
It Feels So Good,Sonique,,,,,,
It Must Have Been Love,Roxette,,,,,,
It Wasn't Me,Shaggy,Ricardo 'RikRok' Ducent,,,,,
It Will Rain,Bruno Mars,,,,,,
It Would Take A Strong Strong Man,Rick Astley,,,,,,
It's A Sin,Pet Shop Boys,,,,,,
It's All About Me,Mya,,,,,,
It's All Coming Back To Me Now,Celine Dion,,,,,,
It's Been Awhile,Staind,,,,,,
It's Goin' Down,Yung Joc,,,,,,
It's Gonna Be Me,'N Sync,,,,,,
It's My Life,No Doubt,,,,,,
It's No Crime,Babyface,,,,,,
It's Not Over,Daughtry,,,,,,
It's Not Over,Starship,,,,,,
It's Not Right But It's Okay,Whitney Houston,,,,,,
It's Over Now,112,,,,,,
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,,,,,,
It's Your Love,Tim McGraw,Faith Hill,,,,,
Izzo,Jay-Z,,,,,,
Jacob's Ladder,Huey Lewis And The News,,,,,,
Jaded,Aerosmith,,,,,,
Jamboree,Naughty By Nature,Zhane,,,,,
Janie's Got A Gun,Aerosmith,,,,,,
Jenny From The Block,Jennifer Lopez,Jadakiss,Styles,,,,
Jerk Out,The Time,,,,,,
Jesus To A Child,George Michael,,,,,,
Joyride,Roxette,,,,,,
Judas,Lady Gaga,,,,,,
Jump,Kris Kross,,,,,,
Jump Around,House Of Pain,,,,,,
Jump Then Fall,Taylor Swift,,,,,,
Jumper,Third Eye Blind,,,,,,
Jumpin   Jumpin,Destiny's Child,,,,,,
Just A Dream,Nelly,,,,,,
Just A Friend,Biz Markie,,,,,,
Just A Friend 2002,Mario,,,,,,
Just A Kiss,Lady Antebellum,,,,,,
Just A Lil Bit,50 Cent,,,,,,
Just Another Day,Jon Secada,,,,,,
Just Another Dream,Cathy Dennis,,,,,,
Just Between You And Me,Lou Gramm,,,,,,
Just Clownin',The Black Eyed Peas,,,,,,
Just Dance,Lady Gaga,Colby O'Donis,,,,,
Just Give Me A Reason,P!nk,Nate Ruess,,,,,
Just Got Paid,Johnny Kemp,,,,,,
Just Kickin' It,Xscape,,,,,,
Just Like A Pill,P!nk,,,,,,
Just Like Jesse James,Cher,,,,,,
Just Like Paradise,David Lee Roth,,,,,,
Just Lose It,Eminem,,,,,,
Just The Way You Are,Bruno Mars,,,,,,
Just To See Her,Smokey Robinson,,,,,,
Justify My Love,Madonna,,,,,,
Keep It Together,Madonna,,,,,,
Keep On  Keepin' On,MC Lyte,Xscape,,,,,
Keep Their Heads Ringin',Dr. Dre,,,,,,
Keep Your Hands To Yourself,The Georgia Satellites,,,,,,
Keeps Gettin' Better,Christina Aguilera,,,,,,
King For A Day,Thompson Twins,,,,,,
King Of Wishful Thinking,Go West,,,,,,
Kiss,Prince And The Revolution,,,,,,
Kiss From A Rose,Seal,,,,,,
Kiss Kiss,Chris Brown,T-Pain,,,,,
Kiss Me,Sixpence None The Richer,,,,,,
Kiss Me Thru The Phone,Soulja Boy,Sammie,,,,,
Kisses On The Wind,Neneh Cherry,,,,,,
Kissing A Fool,George Michael,,,,,,
Knock You Down,Keri Hilson,Kanye West,Ne-Yo,,,,
Knockin Boots,Candyman,,,,,,
Knockin Da Boots,H-Town,,,,,,
Kokomo,The Beach Boys,,,,,,
Kryptonite,3 Doors Down,,,,,,
Kyrie,Mr. Mister,,,,,,
La Bamba,Los Lobos,,,,,,
La Isla Bonita,Madonna,,,,,,
Lady,D'Angelo,,,,,,
Lady Marmalade,Christina Aguilera,Lil Kim,Mya,Pink,,,
Laffy Taffy,D4L,,,,,,
Land Of Confusion,Genesis,,,,,,
Landslide,Dixie Chicks,,,,,,
Last Friday Night,Katy Perry,,,,,,
Last Kiss,Pearl Jam,,,,,,
Last Night,Diddy,Keyshia Cole,,,,,
Last Night,Az Yet,,,,,,
Lately,Divine,,,,,,
Lately,Jodeci,,,,,,
Lay Your Hands On Me,Bon Jovi,,,,,,
Lay Your Hands On Me,Thompson Twins,,,,,,
Lean Back,Terror Squad,,,,,,
Lean On Me,Club Nouveau,,,,,,
Lean Wit It  Rock Wit It,Dem Franchize Boyz,Lil Peanut,Charlay,,,,
Leavin',Jesse McCartney,,,,,,
Let Her Cry,Hootie And The Blowfish,,,,,,
Let Her Go,Passenger,,,,,,
Let It Go,Keyshia Cole,Missy Elliott,Lil Kim,,,,
Let It Rock,Kevin Rudolf,Lil Wayne,,,,,
Let Me Be The One,Expose,,,,,,
Let Me Blow Ya Mind,Eve,Gwen Stefani,,,,,
